MONTH,JKLB,JKMC,BH,HB,SQ,TB,BQ
2018-11-01,肉蛋,五花肉,161,0.008926,13.82,-0.020062,13.95
2018-11-01,肉蛋,肋排骨,162,0.020587,27,0.082752,27.56
2018-11-01,肉蛋,梅瘦肉,163,0.006025,19.1,0.007349,19.22
2018-11-01,肉蛋,精瘦肉,164,-0.050223,17.46,-0.039477,16.58
2018-11-01,肉蛋,牛肉,165,-0.004926,43.39,0.005707,43.18
2018-11-01,肉蛋,羊肉,166,0.029546,38.08,0.080163,39.21
2018-11-01,肉蛋,白条鸡,167,-0.009715,17.49,0.012919,17.32
2018-11-01,肉蛋,白条鸭,168,-0.002866,12.33,0.035798,12.3
2018-11-01,肉蛋,鸡蛋,169,-0.011133,6.15,0.106129,6.08
2019-02-01,肉蛋,后腿肉,319,-0.003207,13.19,-0.064519,13.15
2019-02-01,肉蛋,五花肉,320,0.006595,14.22,-0.033193,14.31
2019-02-01,肉蛋,肋排骨,321,0.022284,27.09,0.01686,27.69
2019-02-01,肉蛋,梅瘦肉,322,-0.000404,19.6,-0.025628,19.59
2019-02-01,肉蛋,精瘦肉,323,0.013473,17.84,-0.025928,18.08
2019-02-01,肉蛋,牛肉,324,0.111609,45.01,0.165373,50.03
2019-02-01,肉蛋,羊肉,325,0.005627,42.56,0.153839,42.8
2019-02-01,肉蛋,白条鸡,326,0.041218,18.03,0.061102,18.77
2019-02-01,肉蛋,白条鸭,327,0.031393,13.07,0.083399,13.48
2019-02-01,肉蛋,鸡蛋,328,0.014664,5.91,-0.004667,6
2018-12-01,肉蛋,后腿肉,213,0.018809,12.75,0.005091,12.99
2018-12-01,肉蛋,五花肉,214,0.03418,13.95,0.054694,14.42
2018-12-01,肉蛋,肋排骨,215,-0.018002,27.56,0.04172,27.06
2018-12-01,肉蛋,梅瘦肉,216,0.020454,19.22,0.021888,19.61
2018-12-01,肉蛋,精瘦肉,217,0.040756,16.58,-0.013985,17.26
2018-12-01,肉蛋,牛肉,218,-0.012306,43.18,0.009142,42.64
2018-12-01,肉蛋,羊肉,219,0.030581,39.21,0.178264,40.41
2018-12-01,肉蛋,白条鸡,220,0.013834,17.32,0.030102,17.56
2018-12-01,肉蛋,白条鸭,221,0.025587,12.3,0.059146,12.61
2018-12-01,肉蛋,鸡蛋,222,-0.007358,6.08,0.044139,6.04
2019-01-01,肉蛋,后腿肉,266,0.01573,12.99,-0.000479,13.19
2019-01-01,肉蛋,五花肉,267,-0.01436,14.42,0.009554,14.22
2019-01-01,肉蛋,肋排骨,268,0.00103,27.06,0.040276,27.09
2019-01-01,肉蛋,梅瘦肉,269,-0.000456,19.61,0.017125,19.6
2019-01-01,肉蛋,精瘦肉,270,0.033677,17.26,0.017559,17.84
2019-01-01,肉蛋,牛肉,271,0.055469,42.64,0.04843,45.01
2019-01-01,肉蛋,羊肉,272,0.053337,40.41,0.217169,42.56
2019-01-01,肉蛋,白条鸡,273,0.026812,17.56,0.054466,18.03
2019-01-01,肉蛋,白条鸭,274,0.036508,12.61,0.106053,13.07
2019-01-01,肉蛋,鸡蛋,275,-0.021267,6.04,-0.012335,5.91
2019-03-01,肉蛋,后腿肉,372,-0.014366,13.15,-0.017986,12.96
2019-03-01,肉蛋,五花肉,373,-0.040238,14.31,-0.011777,13.73
2019-03-01,肉蛋,肋排骨,374,-0.048028,27.69,0.008242,26.36
2019-03-01,肉蛋,梅瘦肉,375,-0.022513,19.59,-0.024733,19.15
2019-03-01,肉蛋,精瘦肉,376,-0.042135,18.08,-0.014887,17.32
2019-03-01,肉蛋,牛肉,377,-0.018018,50.03,0.128828,49.13
2019-03-01,肉蛋,羊肉,378,-0.013187,42.8,0.151908,42.24
2019-03-01,肉蛋,白条鸡,379,-0.048741,18.77,0.028971,17.86
2019-03-01,肉蛋,白条鸭,380,-0.085693,13.48,0.036379,12.33
2019-03-01,肉蛋,鸡蛋,381,-0.040467,6,0.015711,5.75
2018-08-01,肉蛋,五花肉,2,0.036481,12.59,-0.066739,13.05
2018-08-01,肉蛋,肋排骨,3,0.046035,24.83,0.055386,25.97
2018-08-01,肉蛋,梅瘦肉,4,0.028196,18.35,0.065462,18.87
2018-08-01,肉蛋,精瘦肉,5,0.071108,14.84,-0.060539,15.9
2018-08-01,肉蛋,牛肉,6,0,43.43,0.011647,43.43
2018-08-01,肉蛋,羊肉,7,0,31.87,-0.002844,31.87
2018-08-01,肉蛋,白条鸡,8,0.007633,17.43,0.054118,17.56
2018-08-01,肉蛋,白条鸭,9,0.014083,12.2,0.108538,12.37
2018-08-01,肉蛋,鸡蛋,10,0.077925,5.39,0.1745,5.81
2018-09-01,肉蛋,后腿肉,54,0.035687,12.44,-0.022614,12.89
2018-09-01,肉蛋,五花肉,55,0.057076,13.05,-0.026049,13.79
2018-09-01,肉蛋,肋排骨,56,0.007949,25.97,0.006001,26.18
2018-09-01,肉蛋,梅瘦肉,57,0.015005,18.87,0.075497,19.15
2018-09-01,肉蛋,精瘦肉,58,0.046461,15.9,-0.02819,16.64
2018-09-01,肉蛋,牛肉,59,0.001957,43.43,0.013627,43.52
2018-09-01,肉蛋,羊肉,60,0.031817,31.87,0.031817,32.88
2018-09-01,肉蛋,白条鸡,61,0.016453,17.56,0.05535,17.85
2018-09-01,肉蛋,白条鸭,62,0.009964,12.37,0.061257,12.49
2018-09-01,肉蛋,鸡蛋,63,0.054167,5.81,0.106242,6.13
2018-10-01,肉蛋,后腿肉,107,0.00313,12.89,-0.025683,12.93
2018-10-01,肉蛋,五花肉,108,0.002109,13.79,-0.014575,13.82
2018-10-01,肉蛋,肋排骨,109,0.031309,26.18,0.025076,27
2018-10-01,肉蛋,梅瘦肉,110,-0.002593,19.15,0.04897,19.1
2018-10-01,肉蛋,精瘦肉,111,0.049306,16.64,0.000657,17.46
2018-10-01,肉蛋,牛肉,112,-0.002901,43.52,0.008113,43.39
2018-10-01,肉蛋,羊肉,113,0.158061,32.88,0.039766,38.08
2018-10-01,肉蛋,白条鸡,114,-0.020231,17.85,0.026196,17.49
2018-10-01,肉蛋,白条鸭,115,-0.012829,12.49,0.021056,12.33
2018-10-01,肉蛋,鸡蛋,116,0.004026,6.13,0.106674,6.15
2018-11-01,肉蛋,后腿肉,160,-0.013899,12.93,-0.041284,12.75
2019-04-01,肉蛋,后腿肉,425,-0.018092,12.96,0.013942,12.73
2019-04-01,肉蛋,五花肉,426,0.017986,13.73,0.043361,13.98
2019-04-01,肉蛋,肋排骨,427,-0.000038,26.36,0.076162,26.36
2019-04-01,肉蛋,梅瘦肉,428,-0.004386,19.15,-0.006435,19.07
2019-04-01,肉蛋,精瘦肉,429,-0.027577,17.32,0.047564,16.84
2019-04-01,肉蛋,牛肉,430,-0.09667,49.13,0.029339,44.38
2019-04-01,肉蛋,羊肉,431,-0.079269,42.24,0.19873,38.89
2019-04-01,肉蛋,白条鸡,432,0.063804,17.86,0.105622,19
2019-04-01,肉蛋,白条鸭,433,-0.012494,12.33,0.022342,12.17
2019-04-01,肉蛋,鸡蛋,434,-0.036496,5.75,0.014085,5.54
2019-06-01,肉蛋,后腿肉,531.0,0.076774,12.07,0.107729,12.99
2019-06-01,肉蛋,五花肉,532.0,0.066489,13.77,0.179504,14.69
2019-06-01,肉蛋,肋排骨,533.0,0.012959,26.42,0.098019,26.76
2019-06-01,肉蛋,梅瘦肉,534.0,0.002948,18.83,0.032234,18.88
2019-06-01,肉蛋,精瘦肉,535.0,0.008365,16.83,0.119545,16.97
2019-06-01,肉蛋,牛肉,536.0,0.005175,43.12,-0.002,43.34
2019-06-01,肉蛋,羊肉,537.0,0.010946,38.25,0.231389,38.67
2019-06-01,肉蛋,白条鸡,538.0,0.023698,18.9,0.11214,19.35
2019-06-01,肉蛋,白条鸭,539.0,0.026552,12.27,0.02932,12.6
2019-06-01,肉蛋,鸡蛋,540.0,0.036826,5.95,0.110606,6.17
2019-07-01,肉蛋,后腿肉,584.0,0.044077,12.99,0.150229,13.57
2019-07-01,肉蛋,五花肉,585.0,0.042961,14.69,0.216935,15.32
2019-07-01,肉蛋,肋排骨,586.0,0.056944,26.76,0.139278,28.29
2019-07-01,肉蛋,梅瘦肉,587.0,0.059415,18.88,0.090226,20.01
2019-07-01,肉蛋,精瘦肉,588.0,0.085,16.97,0.240487,18.41
2019-07-01,肉蛋,牛肉,589.0,-0.000093,43.34,-0.002092,43.34
2019-07-01,肉蛋,羊肉,590.0,0.00034,38.67,0.213681,38.68
2019-07-01,肉蛋,白条鸡,591.0,-0.057464,19.35,0.046247,18.24
2019-07-01,肉蛋,白条鸭,592.0,0.022391,12.6,0.055862,12.88
2019-07-01,肉蛋,鸡蛋,593.0,-0.005863,6.17,0.137676,6.13
2019-05-01,肉蛋,后腿肉,478.0,-0.051801,12.73,0.040905,12.07
2019-05-01,肉蛋,五花肉,479.0,-0.014794,13.98,0.093891,13.77
2019-05-01,肉蛋,肋排骨,480.0,0.002364,26.36,0.112802,26.42
2019-05-01,肉蛋,梅瘦肉,481.0,-0.012525,19.07,-0.002824,18.83
2019-05-01,肉蛋,精瘦肉,482.0,-0.000553,16.84,0.06262,16.83
2019-05-01,肉蛋,牛肉,483.0,-0.028424,44.38,-0.007138,43.12
2019-05-01,肉蛋,羊肉,484.0,-0.016453,38.89,0.225903,38.25
2019-05-01,肉蛋,白条鸡,485.0,-0.005211,19,0.105263,18.9
2019-05-01,肉蛋,白条鸭,486.0,0.008051,12.17,0.023139,12.27
2019-05-01,肉蛋,鸡蛋,487.0,0.073478,5.54,0.07503,5.95
2019-08-01,肉蛋奶,猪肉,"f87e6168cb37458ca5b677206f99865a",0.225729,19.12,0.358687,23.43
2019-08-01,肉蛋奶,其中:精瘦肉,"e867544c5f7644a9ac2ca8fd270d733f",0.267829,18.41,0.468315,23.34
2019-08-01,肉蛋奶,"     肋排骨","a1cf25c287924844bbcc00b01d441e9f",0.164272,28.29,0.268055,32.94
2019-08-01,肉蛋奶,牛肉,"6423f3fc517e4cc49d93a1c04752f4c7",0.041201,43.34,0.039023,45.12
2019-08-01,肉蛋奶,白条鸡,"ac12f90ff439442babe53207a65430d8",0.052257,18.24,0.092581,19.19
2019-08-01,肉蛋奶,鸡蛋,"1f45a08ceac5472fb9a5d1e780e9e6c8",0.048817,6.13,0.106954,6.43
2019-09-01,肉蛋奶,猪肉,"01fe95897ed541f3aa269ca112c3d75e",0.208452,23.43,0.597261,28.32
2019-09-01,肉蛋奶,其中:精瘦肉,"272a813163624354809e9cc911cebc6a",0.257681,23.34,0.764683,29.36
2019-09-01,肉蛋奶,"     肋排骨","e7085b52b3cd4bfc9d63bd30575b1405",0.18584,32.94,0.491851,39.06
2019-09-01,肉蛋奶,牛肉,"23ea3b768abf40a5942a045ca0dbfbf7",0.040801,45.12,0.079304,46.97
2019-09-01,肉蛋奶,白条鸡,"325da4cc71d148ee9b06ccdb4a540c44",0.081749,19.19,0.162768,20.76
2019-09-01,肉蛋奶,鸡蛋,"e6f3e0d17466495a88176de33478c94a",0.057694,6.43,0.110658,6.81
2019-10-07,肉蛋奶,猪肉,"96BD4DF3954FE3AFE0505BCB8D2E64C7",0.12,28.32,0.75,31.64
2019-10-07,肉蛋奶,其中:精瘦肉,"96BD4DF39550E3AFE0505BCB8D2E64C7",0.08,29.36,0.82,31.68
2019-10-07,肉蛋奶,"     肋排骨","96BD4DF39551E3AFE0505BCB8D2E64C7",0.08,39.06,0.56,42
2019-10-07,肉蛋奶,牛肉,"96BD4DF39552E3AFE0505BCB8D2E64C7",0.04,46.97,0.12,48.61
2019-10-07,肉蛋奶,白条鸡,"96BD4DF39553E3AFE0505BCB8D2E64C7",-0.01,20.76,0.18,20.57
2019-10-07,肉蛋奶,鸡蛋,"96BD4DF39554E3AFE0505BCB8D2E64C7",-0.01,6.8,0.1,6.76
2019-11-09,肉蛋奶,猪肉,"993BBFB6B5C6D136E0505BCB8D2E35B1",0.146,31.64,1.013,36.25
2019-11-09,肉蛋奶,精瘦肉,"993BBFB6B5C7D136E0505BCB8D2E35B1",0.138,31.68,1.174,36.05
2019-11-09,肉蛋奶,"     肋排骨","993BBFB6B5C8D136E0505BCB8D2E35B1",0.045,42,0.593,43.91
2019-11-09,肉蛋奶,牛肉,"993BBFB6B5C9D136E0505BCB8D2E35B1",-0.008,48.61,0.117,48.24
2019-11-09,肉蛋奶,白条鸡,"993BBFB6B5CAD136E0505BCB8D2E35B1",0.01,20.57,0.2,20.78
2019-11-09,肉蛋奶,鸡蛋,"993BBFB6B5CBD136E0505BCB8D2E35B1",0.034,6.77,0.15,6.99
2020-02-27,肉蛋奶,猪肉,"A1083EC4B16D9D2EE0505BCB8D2E5858",0.093,37.41,1.202,40.87
2020-02-27,肉蛋奶,其中:精瘦肉,"A1083EC4B16E9D2EE0505BCB8D2E5858",0.071,37.65,1.23,40.31
2020-02-27,肉蛋奶,"     肋排骨","A1083EC4B16F9D2EE0505BCB8D2E5858",0.134,45.52,0.864,51.63
2020-02-27,肉蛋奶,牛肉,"A1083EC4B1709D2EE0505BCB8D2E5858",0.12,50.57,0.132,56.63
2020-02-27,肉蛋奶,白条鸡,"A1083EC4B1719D2EE0505BCB8D2E5858",0.081,20.24,0.166,21.89
2020-02-27,肉蛋奶,鸡蛋,"A1083EC4B1729D2EE0505BCB8D2E5858",-0.018,6.89,0.129,6.77
2020-04-08,肉蛋奶,猪肉,"A51DD1750474FF18E0505BCB8D2E7F8D",0.018,36.29,1.076,36.94
2020-04-08,肉蛋奶,其中:精瘦肉,"A51DD1750475FF18E0505BCB8D2E7F8D",0.01,35.11,1.106,35.46
2020-04-08,肉蛋奶,"     肋排骨","A51DD1750476FF18E0505BCB8D2E7F8D",-0.018,45.17,0.682,44.34
2020-04-08,肉蛋奶,牛肉,"A51DD1750477FF18E0505BCB8D2E7F8D",0.04,48.79,0.143,50.72
2020-04-08,肉蛋奶,白条鸡,"A51DD1750478FF18E0505BCB8D2E7F8D",0.021,20.94,0.126,21.39
2020-04-08,肉蛋奶,鸡蛋,"A51DD1750479FF18E0505BCB8D2E7F8D",0.049,6.35,0.202,6.66
2020-05-02,肉蛋奶,猪肉,"A71677148ED5A677E0505BCB8D2E665B",-0.043,36.94,1.01,35.34
2020-05-02,肉蛋奶,其中:精瘦肉,"A71677148ED6A677E0505BCB8D2E665B",-0.06,35.46,0.981,33.33
2020-05-02,肉蛋奶,"     肋排骨","A71677148ED7A677E0505BCB8D2E665B",-0.035,44.34,0.619,42.77
2020-05-02,肉蛋奶,牛肉,"A71677148ED8A677E0505BCB8D2E665B",-0.018,50.72,0.155,49.82
2020-05-02,肉蛋奶,白条鸡,"A71677148ED9A677E0505BCB8D2E665B",-0.007,21.39,0.124,21.24
2020-05-02,肉蛋奶,鸡蛋,"A71677148EDAA677E0505BCB8D2E665B",-0.031,6.66,0.085,6.46
2020-08-03,肉蛋奶,猪肉,"AE6646B7BA8C18E4E0505BCB8D2E093D",0.019,35.54,0.545,36.2
2020-08-03,肉蛋奶,其中:精瘦肉,"AE6646B7BA8D18E4E0505BCB8D2E093D",0.035,33.96,0.506,35.16
2020-08-03,肉蛋奶,"     肋排骨","AE6646B7BA8E18E4E0505BCB8D2E093D",0.038,42.35,0.334,43.94
2020-08-03,肉蛋奶,牛肉,"AE6646B7BA8F18E4E0505BCB8D2E093D",-0.022,49.54,0.074,48.46
2020-08-03,肉蛋奶,白条鸡,"AE6646B7BA9018E4E0505BCB8D2E093D",0.005,18.54,-0.029,18.63
2020-08-03,肉蛋奶,鸡蛋,"AE6646B7BA9118E4E0505BCB8D2E093D",-0.008,5.12,-0.211,5.08
2020-10-02,肉蛋奶,猪肉,"B31B70B6F61FD764E0505BCB8D2E52D3",-0.021,36.2,0.251,35.43
2020-10-02,肉蛋奶,其中:精瘦肉,"B31B70B6F620D764E0505BCB8D2E52D3",-0.022,35.16,0.171,34.38
2020-10-02,肉蛋奶,肋排骨,"B31B70B6F621D764E0505BCB8D2E52D3",-0.015,43.94,0.109,43.3
2020-10-02,肉蛋奶,牛肉,"B31B70B6F622D764E0505BCB8D2E52D3",0.002,48.46,0.034,48.55
2020-10-02,肉蛋奶,白条鸡,"B31B70B6F623D764E0505BCB8D2E52D3",0.029,18.63,-0.076,19.18
2020-10-02,肉蛋奶,鸡蛋,"B31B70B6F624D764E0505BCB8D2E52D3",0.018,5.08,-0.24,5.17
2021-01-02,肉蛋奶,猪肉,"BA578743B220B9C7E0505BCB8D2E20E0",0.049,32.96,-0.076,34.57
2021-01-02,肉蛋奶,精瘦肉,"BA578743B221B9C7E0505BCB8D2E20E0",0.044,31.61,-0.124,32.98
2021-01-02,肉蛋奶,肋排骨,"BA578743B222B9C7E0505BCB8D2E20E0",0.06,39.93,-0.071,42.31
2021-01-02,肉蛋奶,牛肉,"BA578743B223B9C7E0505BCB8D2E20E0",-0.023,53.24,0.029,52.03
2021-01-02,肉蛋奶,白条鸡,"BA578743B224B9C7E0505BCB8D2E20E0",-0.023,19.36,-0.066,18.91
2021-01-02,肉蛋奶,鸡蛋,"BA578743B225B9C7E0505BCB8D2E20E0",0.068,5.14,-0.203,5.49
2021-02-04,肉蛋奶,猪肉,"BCB3E395F3A20B47E0505BCB8D2E3374",0.019,34.57,-0.138,35.23
2021-02-04,肉蛋奶,其中:精瘦肉,"BCB3E395F3A30B47E0505BCB8D2E3374",0.032,32.98,-0.156,34.03
2021-02-04,肉蛋奶,肋排骨,"BCB3E395F3A40B47E0505BCB8D2E3374",0.043,42.31,-0.145,44.12
2021-02-04,肉蛋奶,牛肉,"BCB3E395F3A50B47E0505BCB8D2E3374",0.013,52.03,-0.069,52.74
2021-02-04,肉蛋奶,白条鸡,"BCB3E395F3A60B47E0505BCB8D2E3374",0.048,18.91,-0.095,19.81
2021-02-04,肉蛋奶,鸡蛋,"BCB3E395F3A70B47E0505BCB8D2E3374",0.105,5.49,-0.103,6.07
2021-03-02,肉蛋奶,猪肉,"BEF8FDA702746BDCE0505BCB8D2E0844",-0.1,35.23,-0.179,31.71
2021-03-02,肉蛋奶,其中:精瘦肉,"BEF8FDA702756BDCE0505BCB8D2E0844",-0.102,34.03,-0.182,30.54
2021-03-02,肉蛋奶,肋排骨,"BEF8FDA702766BDCE0505BCB8D2E0844",-0.085,44.12,-0.16,40.39
2021-03-02,肉蛋奶,牛肉,"BEF8FDA702776BDCE0505BCB8D2E0844",0.004,52.74,0.019,52.92
2021-03-02,肉蛋奶,白条鸡,"BEF8FDA702786BDCE0505BCB8D2E0844",-0.047,19.81,-0.153,18.87
2021-03-02,肉蛋奶,鸡蛋,"BEF8FDA702796BDCE0505BCB8D2E0844",-0.066,6.07,-0.16,5.67
2021-04-06,肉蛋奶,猪肉,"C1A5C41B88BD5BB9E0505BCB8D2E36F7",-0.047,31.71,-0.182,30.23
2021-04-06,肉蛋奶,其中:精瘦肉,"C1A5C41B88BE5BB9E0505BCB8D2E36F7",-0.07,30.54,-0.199,28.42
2021-04-06,肉蛋奶,肋排骨,"C1A5C41B88BF5BB9E0505BCB8D2E36F7",-0.022,40.39,-0.109,39.5
2021-04-06,肉蛋奶,牛肉,"C1A5C41B88C05BB9E0505BCB8D2E36F7",-0.038,52.92,0.004,50.92
2021-04-06,肉蛋奶,白条鸡,"C1A5C41B88C15BB9E0505BCB8D2E36F7",-0.007,18.87,-0.124,18.74
2021-04-06,肉蛋奶,鸡蛋,"C1A5C41B88C25BB9E0505BCB8D2E36F7",-0.004,5.67,-0.152,5.65
2021-05-23,肉蛋奶,猪肉,"C56A500BD0AF1237E0505BCB8D2E2B85",-0.059,30.23,-0.195,28.43
2021-05-23,肉蛋奶,其中:精瘦肉,"C56A500BD0B01237E0505BCB8D2E2B85",-0.056,28.42,-0.195,26.83
2021-05-23,肉蛋奶,肋排骨,"C56A500BD0B11237E0505BCB8D2E2B85",-0.057,39.5,-0.129,37.25
2021-05-23,肉蛋奶,牛肉,"C56A500BD0B21237E0505BCB8D2E2B85",-0.007,50.92,0.015,50.55
2021-05-23,肉蛋奶,白条鸡,"C56A500BD0B31237E0505BCB8D2E2B85",-0.001,18.74,-0.118,18.73
2021-05-23,肉蛋奶,鸡蛋,"C56A500BD0B41237E0505BCB8D2E2B85",0.028,5.65,-0.1,5.81
2021-07-04,肉蛋,后腿肉,"C8BB45E07BA7515EE0505BCB8D2E08C2",-0.11,22.87,-0.276,20.34
2021-07-04,肉蛋,五花肉,"C8BB45E07BA8515EE0505BCB8D2E08C2",-0.105,25.38,-0.254,22.72
2021-07-04,肉蛋,肋排骨,"C8BB45E07BA9515EE0505BCB8D2E08C2",-0.09,37.25,-0.182,33.9
2021-07-04,肉蛋,梅瘦肉,"C8BB45E07BAA515EE0505BCB8D2E08C2",-0.06,29.84,-0.278,28.04
2021-07-04,肉蛋,精瘦肉,"C8BB45E07BAB515EE0505BCB8D2E08C2",-0.071,26.83,-0.202,24.91
2021-07-04,肉蛋,牛肉,"C8BB45E07BAC515EE0505BCB8D2E08C2",-0.012,50.55,0.009,49.95
2021-07-04,肉蛋,羊肉,"C8BB45E07BAD515EE0505BCB8D2E08C2",-0.01,48.05,0.117,47.58
2021-07-04,肉蛋,白条鸡,"C8BB45E07BAE515EE0505BCB8D2E08C2",-0.015,18.73,-0.087,18.46
2021-07-04,肉蛋,白条鸭,"C8BB45E07BAF515EE0505BCB8D2E08C2",-0.001,14.17,-0.031,14.15
2021-07-04,肉蛋,鸡蛋,"C8BB45E07BB0515EE0505BCB8D2E08C2",0.017,5.81,0.002,5.91
2021-07-04,肉蛋,后腿肉,"C8BB517DE937538BE0505BCB8D2E1099",-0.072,20.34,-0.346,18.87
2021-07-04,肉蛋,五花肉,"C8BB517DE938538BE0505BCB8D2E1099",-0.081,22.72,-0.358,20.89
2021-07-04,肉蛋,肋排骨,"C8BB517DE939538BE0505BCB8D2E1099",-0.03,33.9,-0.224,32.87
2021-07-04,肉蛋,梅瘦肉,"C8BB517DE93A538BE0505BCB8D2E1099",-0.071,28.04,-0.349,26.05
2021-07-04,肉蛋,精瘦肉,"C8BB517DE93B538BE0505BCB8D2E1099",-0.061,24.91,-0.311,23.41
2021-07-04,肉蛋,牛肉,"C8BB517DE93C538BE0505BCB8D2E1099",-0.006,49.95,0.002,49.66
2021-07-04,肉蛋,羊肉,"C8BB517DE93D538BE0505BCB8D2E1099",-0.024,47.58,0.1,46.46
2021-07-04,肉蛋,白条鸡,"C8BB517DE93E538BE0505BCB8D2E1099",-0.026,18.46,-0.03,17.98
2021-07-04,肉蛋,白条鸭,"C8BB517DE93F538BE0505BCB8D2E1099",-0.009,14.15,0.,14.02
2021-07-04,肉蛋,鸡蛋,"C8BB517DE940538BE0505BCB8D2E1099",0.005,5.91,0.159,5.93
